Query_ID,SOLR_Index_Type,Query_Frag,Ontology_Set_ID
q4,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000534",None
q4,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000534",None
q4,esor_cosine,sem_annotation_cosine_sm:"http://purl.dataone.org/odo/ECSO_00000534",None
q4,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000534",None
q5,nat_lang,concentration of dissolved carbon dioxide carbonate or bicarbonate in the water of an aquatic system,None
q5,metacat_ui,carbon dioxide carbonate or bicarbonate concentration,None
q5,metacat_filtered,attribute:"carbon dioxide concentration" OR attribute:"carbonate concentration" OR attribute:"bicarbonate concentration",None
q5,full_text,attribute:concentration AND (attribute:"*carbonate" or attribute:"C02" or attribute:"carbon dioxide") AND (abstract:aquatic OR title:aquatic),None
q5,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000539",None
q5,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000539",None
q5,esor_cosine,sem_annotation_cosine_sm:"http://purl.dataone.org/odo/ECSO_00000539",None
q5,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000539",None
q6,nat_lang,ecosystem carbon flux in dimensions of (amount or mass) of (carbon dioxide or carbon) per area per time,None
q6,metacat_ui,"carbon dioxide" "flux tower",None
q6,metacat_filtered,flux tower AND attribute:"carbon dioxide",None
q6,full_text,(attribute:"C02 flux" or attribute:"carbon dioxide flux") AND (abstract:"flux tower" OR title:"flux tower"),None
q6,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000014",None
q6,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000014",None
q6,esor_cosine,sem_annotation_cosine_sm:"http://purl.dataone.org/odo/ECSO_00000014",None
q6,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000014",None
q7,nat_lang,carbon dioxide flux in an enrichment experiment in dimensions of (amount or mass) of carbon per (area or volume) per time,None
q7,metacat_ui,("C02 flux" OR "carbon dioxide flux") AND "enrichment experiment",None
q7,metacat_filtered,experiment OR treatment AND ("C02 flux" OR "carbon dioxide flux"),None
q7,full_text,(attribute:"C02 flux" or attribute:"carbon dioxide flux") AND ("enrichment experiment" OR "treatment"),None
q7,bioportal_annot,sem_annotation_bioportal_sm:("http://purl.dataone.org/odo/ECSO_00000536" AND "http://purl.dataone.org/odo/ECSO_00000505"),None
q7,esor_annot,sem_annotation_esor_sm:("http://purl.dataone.org/odo/ECSO_00000536" AND "http://purl.dataone.org/odo/ECSO_00000505"),None
q7,esor_cosine,sem_annotation_cosine_sm:("http://purl.dataone.org/odo/ECSO_00000536" AND "http://purl.dataone.org/odo/ECSO_00000505"),None
q7,manual_annot,sem_annotation:("http://purl.dataone.org/odo/ECSO_00000536" AND "http://purl.dataone.org/odo/ECSO_00000505"),None
q8,nat_lang,growth of trees measured as changes in diameter (with or without) duration,None
q8,metacat_ui,tree diameter,None
q8,metacat_filtered,tree AND (attribute:diameter OR attribute:dbh),None
q8,full_text,(attribute:diameter AND attribute:date) AND (abstract:tree OR title:tree),None
q8,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000544",None
q8,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000544",None
q8,esor_cosine,sem_annotation_cosine_sm:"http://purl.dataone.org/odo/ECSO_00000544",None
q8,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000544",None
q9,nat_lang,net primary production of coastal macroalgae in dimensions of (amount or mass) of carbon per area per time,None
q9,metacat_ui,net primary production coastal macroalgae,None
q9,metacat_filtered,"coastal macroalgae" AND attribute:"net primary production",None
q9,full_text,attribute:"net primary production" AND (abstract:"coastal macroalgae" OR title:"coastal macroalgae"),None
q9,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000542",None
q9,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000542",None
q9,esor_cosine,sem_annotation_cosine_sm:"http://purl.dataone.org/odo/ECSO_00000542",None
q9,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000542",None
q10,nat_lang,ocean carbon dioxide flux in dimensions of (amount or mass) of carbon per (area or volume) per time,None
q10,metacat_ui,ocean carbon dioxide flux,None
q10,metacat_filtered,ocean AND attribute:"carbon dioxide flux",None
q10,full_text,(attribute:"C02 flux" or attribute:"carbon dioxide flux") AND (abstract:ocean OR title:ocean),None
q10,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000543",None
q10,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000543",None
q10,esor_cosine,sem_annotation_cosine_sm:"http://purl.dataone.org/odo/ECSO_00000543",None
q10,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000543",None
